Case,Selection_group,Scenario,SampleIndex,MMSI,Path_5min_m,Avg_speed_5min_mps,Avg_speed_5min_kn,True_turn_rad,True_turn_deg,Abs_turn_deg,Anchor_lat,Anchor_lon,OOD_score,Rarity_score,Neighbor_mean,Neighbor_max,RF_ADE_m,RF_FDE_m,RF_PredTurn_deg,RNN_ADE_m,RNN_FDE_m,RNN_PredTurn_deg,LSTM_ADE_m,LSTM_FDE_m,LSTM_PredTurn_deg,HINN_ADE_m,HINN_FDE_m,HINN_PredTurn_deg,Best_baseline_ADE_m,Best_baseline_FDE_m,HINN_ADE_gain_m,HINN_FDE_gain_m,HINN_ADE_gain_pct,HINN_FDE_gain_pct,HINN_ADE_rank,HINN_FDE_rank,Recommended_main_figure,Recommendation_reason,Figure_score
3,HINN-leading,Moderate curve,656,525100764,1221.74072265625,4.072469075520833,7.916253422181682,0.2162482887506485,12.390113830566406,12.390113830566406,10.22014167082676,107.05613914945944,0.13633280992507935,0.0,4.442986965179443,8.59233283996582,107.4142074584961,244.63644409179688,18.786466598510742,286.85113525390625,635.963134765625,51.95014572143555,167.24551391601562,381.0654602050781,46.400978088378906,21.019643783569336,41.274349212646484,-28.99360466003418,107.4142074584961,244.63644409179688,86.39456176757812,203.36209106445312,80.43122100830078,83.12828826904297,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error,161.8779377746582
2,HINN-leading,Straight,1123,574480000,1858.7254638671875,6.195751546223958,12.043587924485383,-0.002075890079140663,-0.11893973499536514,0.11893973499536514,10.302290000923342,107.26681330163436,0.34769776463508606,0.2665916383266449,5.0320844650268555,8.349418640136719,90.60226440429688,245.21678161621094,-15.08763599395752,132.5281982421875,328.8384704589844,-1.7039514780044556,88.90872955322266,178.35244750976562,15.915258407592773,27.357585906982422,65.435791015625,12.434427261352539,88.90872955322266,178.35244750976562,61.551143646240234,112.91665649414062,69.22958374023438,63.31096649169922,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error,130.351943359375
8,HINN-leading,Long-range,1126,574480000,1856.912109375,6.18970703125,12.03183831719293,-0.008306787349283695,-0.47594383358955383,0.47594383358955383,10.301541666983915,107.2634767079055,0.5726838111877441,0.2665916383266449,4.988637924194336,8.332319259643555,93.0386734008789,240.0383758544922,-11.982468605041504,74.91048431396484,210.3140411376953,-7.320160865783691,104.78588104248047,345.4217224121094,-43.921730041503906,28.86957359313965,75.58238983154297,15.239665985107422,74.91048431396484,210.3140411376953,46.04090881347656,134.73165893554688,61.46123504638672,64.0621337890625,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error,123.21380294799805
4,HINN-leading,Moderate curve,369,352001126,1563.009765625,5.210032552083334,10.127501831265082,-0.3560166358947754,-20.39824867248535,20.39824867248535,10.417152223696991,107.00936830007284,0.0,0.0,3.5048394203186035,4.43275260925293,124.93575286865234,340.1528015136719,-1.8411130905151367,126.14301300048828,353.4179382324219,1.0744112730026245,125.385009765625,345.5887756347656,1.7879217863082886,49.80525207519531,130.2573699951172,-10.202420234680176,124.93575286865234,340.1528015136719,75.13050079345703,209.8954315185547,60.135311126708984,61.70621871948242,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error,117.85710968017578
12,HINN-leading,Channel/approach,274,352001126,1633.57666015625,5.445255533854167,10.58473912389719,0.553913950920105,31.736928939819336,31.736928939819336,10.47192102586474,106.94104690219793,0.032738231122493744,0.0,5.112733364105225,6.3017120361328125,184.14572143554688,451.9436950683594,17.49855613708496,99.25753784179688,269.4469909667969,-5.306598663330078,100.32099914550781,235.25653076171875,66.41026306152344,51.17518615722656,136.93814086914062,-0.6400228142738342,99.25753784179688,235.25653076171875,48.08235168457031,98.31838989257812,48.4420166015625,41.7919921875,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error,86.13999389648437
10,HINN-leading,Offshore,1215,574480000,1758.0350341796875,5.8601167805989585,11.39116557020581,-0.055310752242803574,-3.169072389602661,3.169072389602661,10.279140909493428,107.11877120799797,0.0,0.0,3.851388454437256,5.113723278045654,53.16395950317383,142.7377166748047,-0.13960225880146027,51.52691650390625,165.44908142089844,23.203781127929688,72.13555145263672,199.7295684814453,1.857168197631836,24.224843978881836,94.81273651123047,-7.84700345993042,51.52691650390625,142.7377166748047,27.302072525024414,47.92498016357422,52.98604202270508,33.57555389404297,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error,84.6236083984375
1,HINN-leading,Straight,671,525100764,1172.04296875,3.9068098958333333,7.594237459924371,-0.006501048803329468,-0.37248262763023376,0.37248262763023376,10.210673324895696,107.05059500012648,0.026811283081769943,0.0,4.02827262878418,5.070199012756348,177.8010711669922,417.8883972167969,31.182519912719727,231.7625274658203,498.45892333984375,41.394222259521484,167.38963317871094,386.6855163574219,38.44221878051758,105.2486343383789,190.57066345214844,-14.280532836914062,167.38963317871094,386.6855163574219,62.14099884033203,196.11485290527344,37.123565673828125,50.71688461303711,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error,79.42055953979492
9,HINN-leading,Offshore,1399,636018224,1590.1368408203125,5.300456136067709,10.303271368832581,0.22984075546264648,13.168904304504395,13.168904304504395,10.258007958341471,107.10015243514384,0.018488943576812744,0.0,3.6647350788116455,4.253707408905029,181.829833984375,450.4261779785156,-8.4689359664917,111.10810852050781,277.17449951171875,-9.494601249694824,127.82537078857422,349.4709167480469,-31.267913818359375,73.49443817138672,188.1338653564453,-8.586135864257812,111.10810852050781,277.17449951171875,37.613670349121094,89.04063415527344,33.85321807861328,32.12439727783203,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error,60.098060302734375
